date,max_temp,min_temp
2026-03-03,18.5,7.4
2026-03-04,18.7,8.0
2026-03-05,19.1,7.8
2026-03-06,18.0,10.1
2026-03-07,18.4,9.9
2026-03-08,18.0,7.5
2026-03-09,18.0,8.7
2026-03-10,16.0,10.6
